,F,NEPkid,MDLF,eta_circuit,W_F_spec,NEFD_line,NEFD_continuum,Pkid,pwv,EL
104,270903786083.92368,7.963019943263957e-18,1.4038998534224445e-19,0.18692148785618734,672884327.2227979,4.750378473784062e-27,2.375189236892031e-27,6.892664868194713e-14,0.5,60.0
105,271440766829.5246,4.2429824283870396e-18,1.7699510942866496e-19,0.07936460467327157,426116233.3462063,9.457267722453027e-27,4.728633861226514e-27,2.022025791645622e-14,0.5,60.0
106,271717268042.22205,4.923355181938723e-18,1.1052150504517315e-19,0.14757228504362016,460908660.67109865,5.459645167479198e-27,2.729822583739599e-27,2.808369047686414e-14,0.5,60.0
107,272454933584.4896,6.406356161186626e-18,3.795956498767173e-19,0.05676305750543488,696550806.0946741,1.2407975409106655e-26,6.2039877045533275e-27,4.208377732854901e-14,0.5,60.0
108,272630852102.8908,1.1054081453367498e-17,2.155511244302159e-19,0.17281141094390973,728689217.7405953,6.735044130566504e-27,3.367522065283252e-27,1.2268575064394163e-13,0.5,60.0
109,273192574967.58188,7.547614308280917e-18,2.1932908489599874e-19,0.11759642222480958,440778779.9833457,1.1329429585992269e-26,5.664714792996134e-27,5.765296094894003e-14,0.5,60.0
110,273768741608.01727,7.90383802415051e-18,1.8507504807450868e-19,0.14474747640564517,494715486.7335788,8.517749455718341e-27,4.258874727859171e-27,6.461412029477442e-14,0.5,60.0
111,274353637244.9419,6.644076435678986e-18,1.5020016435296604e-19,0.15173182986398195,530856131.5637068,6.442079297064726e-27,3.221039648532363e-27,4.828181078787531e-14,0.5,60.0
112,274855989546.14664,8.71525047994223e-18,1.186954400425909e-19,0.251077579518788,600086378.5282793,4.50352691421496e-27,2.25176345710748e-27,8.110637935358542e-14,0.5,60.0
113,275204766692.07,5.048264983167866e-18,1.5894909479671906e-19,0.10879605806780718,545253163.6260765,6.637313961291076e-27,3.318656980645538e-27,2.986408323569307e-14,0.5,60.0
114,275997785892.0945,7.317886492003317e-18,1.9376436503561341e-19,0.13016122109584446,485506683.5985448,9.086804680216371e-27,4.5434023401081855e-27,5.566298475412966e-14,0.5,60.0
115,276431009037.3026,9.405084349038616e-18,1.7166221092015116e-19,0.18931575916560686,647226355.2739303,6.038804980521405e-27,3.0194024902607025e-27,9.045837488194598e-14,0.5,60.0
116,277648520854.3866,7.236566579190875e-18,1.7608574873123498e-19,0.14277769783237146,449457447.5737458,8.9200671475072e-27,4.4600335737536e-27,5.395850804891183e-14,0.5,60.0
117,278258784429.8315,6.919795339391956e-18,9.560025290766546e-20,0.2519279384396273,466674712.50872165,4.66420112126623e-27,2.332100560633115e-27,5.230997218628066e-14,0.5,60.0
118,278337244447.52576,5.641543635801821e-18,3.029949605098361e-19,0.06495195124347226,849992339.3611,8.116202797174855e-27,4.058101398587427e-27,3.424806192922096e-14,0.5,60.0
119,279081195011.6156,5.806172432714083e-18,1.315857632449661e-19,0.15490783583724368,512861531.57315654,5.841727242149617e-27,2.9208636210748086e-27,3.810614864108547e-14,0.5,60.0
120,279881201876.16003,5.0963705357756616e-18,2.79585151199194e-19,0.06470620326731398,513257932.7867313,1.2402548335204291e-26,6.2012741676021456e-27,2.7664968518211934e-14,0.5,60.0
121,280215589114.27515,9.162138835650298e-18,1.5851216601128598e-19,0.20448891754702897,520389471.2111005,6.935321458341277e-27,3.467660729170638e-27,8.542643240990498e-14,0.5,60.0
122,280481795000.37476,6.52174825477862e-18,3.061221289286284e-19,0.0756485321619146,596599684.1748642,1.16827263003298e-26,5.8413631501649e-27,4.363712130722989e-14,0.5,60.0
123,281009456440.5074,7.446968768332257e-18,1.765758671291333e-19,0.14995662252065453,559645787.5378675,7.183739989017002e-27,3.591869994508501e-27,5.860055142623977e-14,0.5,60.0
124,281588524488.24493,5.497447246662426e-18,2.050142823333051e-19,0.0958740148611192,724101764.328514,6.446396407558435e-27,3.2231982037792174e-27,3.4329704022699334e-14,0.5,60.0
125,281893217361.4209,8.929539645558405e-18,2.0187527833455936e-19,0.15848564965861758,818717402.3255589,5.6141189905468246e-27,2.8070594952734123e-27,8.419102232496092e-14,0.5,60.0
