,F,PWV,EL,eta_atm,R,W_F_spec,W_F_cont,theta_maj,theta_min,eta_a,eta_mb,eta_forward,eta_sw,eta_window,eta_inst,eta_circuit,Tb_sky,Tb_M1,Tb_M2,Tb_wo,Tb_window,Tb_co,Tb_KID,psd_KID,Pkid,Pkid_sky,Pkid_warm,Pkid_cold,n_ph,NEPkid,NEPinst,NEFD_line,NEFD_continuum,NEF,MDLF,MS,snr,obs_hours,on_source_fraction,on_source_hours,equivalent_Trx,skycoup,eta_Al_ohmic
20,228969223564.0961,0.5,60.0,0.964078300277972,500.0,457938447.1281922,915876894.2563844,0.0001066590098440979,0.0001066590098440979,1.0159890712395654,0.6,0.973732156864145,0.47688192399049906,0.9719171353169528,0.16374859895820024,0.32,14.614013343695527,17.637805397976308,17.979085685647284,21.865330444950356,29.501406326352797,21.109038065285723,8.514427080644605,5.75774981849108e-23,5.2733900216648705e-14,1.9759937004718686e-14,3.217867881814481e-14,8.634836400045167e-16,0.3795068827110939,6.777082547602031e-18,4.1387117756848736e-17,2.4130000630088264e-27,1.2065000315044132e-27,1.1050055017744919e-18,4.8532419619786474e-20,0.004709395015502412,5.0,10.0,0.36000000000000004,3.6000000000000005,48.175050870200536,0.15942635092141055,0.9987024649399385
21,229427162011.2243,0.5,60.0,0.9608497055648815,500.0,458854324.0224486,917708648.0448972,0.0001066590098440979,0.0001066590098440979,1.0119372743928963,0.6,0.9737248259054305,0.4733858822701099,0.9718608992828657,0.16373912431117726,0.32,15.523270414734084,18.525511292950586,18.86502157510666,22.732500567320166,30.35226280675318,21.66994276870719,8.681921782669543,5.950846690525322e-23,5.4611434710844443e-14,2.1538345678748845e-14,3.227938985930657e-14,8.618672915493887e-16,0.3914514504848024,6.918048389489509e-18,4.2250429874915755e-17,2.4765729216956988e-27,1.2382864608478494e-27,1.1363861938769804e-18,4.99106760308465e-20,0.004470720772706901,5.0,10.0,0.36000000000000004,3.6000000000000005,48.69748959982385,0.15941590519387172,0.998701168052998
22,229886016335.24677,0.5,60.0,0.9624709786047247,500.0,459772032.67049354,919544065.3409871,0.0001066590098440979,0.0001066590098440979,1.0079016362413855,0.6,0.9737174876657586,0.47229001889300487,0.9718045505650105,0.16372963067919302,0.32,15.07790123701401,18.091575789887546,18.43249727898418,22.311538692410803,29.96236460850701,21.41568036141776,8.613020293830541,5.858540313101149e-23,5.3871859764730895e-14,2.069965500218441e-14,3.23804402945774e-14,8.602457645520157e-16,0.38461024273251354,6.865169770966765e-18,4.192991667108915e-17,2.4585712582823925e-27,1.2292856291411962e-27,1.1303823048857486e-18,4.964698208597007e-20,0.004536429707644122,5.0,10.0,0.36000000000000004,3.6000000000000005,48.50579916553343,0.15940543991141432,0.9986998698698184
23,230345788367.91727,0.5,60.0,0.9623520589719615,500.0,460691576.73583454,921383153.4716691,0.0001066590098440979,0.0001066590098440979,1.0038820923436416,0.6,0.9737101421379447,0.47034484118417047,0.9717480889375889,0.16372011802420502,0.32,15.118250307963487,18.13168809431292,18.47289118301331,22.35270019198326,30.01767810883795,21.453909639123875,8.628910957459391,5.868646427643321e-23,5.407271952112248e-14,2.0800940644182892e-14,3.2481831323862537e-14,8.586190790146967e-16,0.3845046947105009,6.8818144746995125e-18,4.203401852961087e-17,2.4699284539315757e-27,1.2349642269657878e-27,1.1378752338664397e-18,4.9976075446037666e-20,0.004494806908605904,5.0,10.0,0.36000000000000004,3.6000000000000005,48.56957316837189,0.15939495503644063,0.998698570389104
24,230806479944.65308,0.5,60.0,0.9590555863940189,500.0,461612959.8893061,923225919.7786123,0.0001066590098440979,0.0001066590098440979,0.9998785785152667,0.6,0.973702789314796,0.4668608559677533,0.971691514174352,0.16371058630809487,0.32,16.044309377312977,19.036725303837297,19.376179304870526,23.237302741502845,30.885553095208877,22.025916415776866,8.799423928094539,6.065692782220045e-23,5.600004797959591e-14,2.2628131438559445e-14,3.258356415141008e-14,8.569872551199905e-16,0.39662162578013693,7.025369683909908e-18,4.29133499692471e-17,2.5353450995874287e-27,1.2676725497937144e-27,1.1703481557614005e-18,5.140230316088249e-20,0.004265850415119572,5.0,10.0,0.36000000000000004,3.6000000000000005,49.096332942683716,0.15938445053127992,0.998697269609558
25,231268092904.5424,0.5,60.0,0.9255913877371431,500.0,462536185.8090848,925072371.6181695,0.0001066590098440979,0.0001066590098440979,0.9958910308278321,0.6,0.9736954291891152,0.44877045964921847,0.9716348260485989,0.16370103549266798,0.32,25.225245081894762,28.059462425268983,28.382579088350585,32.077014156717276,39.444471648007884,27.638130507302744,10.402282524454673,8.03727474345632e-23,7.435060808275953e-14,4.0876049963756104e-14,3.268563998582371e-14,8.553503132306383e-16,0.5244898318197471,8.314542378271749e-18,5.079101884266425e-17,3.1154950587830862e-27,1.5577475293915431e-27,1.441029201396579e-18,6.329075626703726e-20,0.0028250468385928426,5.0,10.0,0.36000000000000004,3.6000000000000005,53.44953313569878,0.1593739263581888,0.9986959675298822
26,231730629090.35144,0.5,60.0,0.9571615750715197,500.0,463461258.18070287,926922516.3614057,0.0001066590098440979,0.0001066590098440979,0.9919193856078584,0.6,0.9736880617536949,0.4622229268414215,0.9715780243331762,0.16369146553965358,0.32,16.58494638514676,19.566832824441146,19.905843976797847,23.758771784765116,31.419479015866106,22.380389316934686,8.911583806819431,6.183312318997811e-23,5.73145141417393e-14,2.3741643182790752e-14,3.278806004008214e-14,8.537082738894807e-16,0.4027000841900516,7.124773753171001e-18,4.352562749488644e-17,2.5869631355154492e-27,1.2934815677577246e-27,1.1989571896530862e-18,5.265882689358635e-20,0.004097314553100493,5.0,10.0,0.36000000000000004,3.6000000000000005,49.46046462905527,0.15936338247935025,0.9986946641487771
27,232194090348.53217,0.5,60.0,0.9609133495922115,500.0,464388180.69706434,928776361.3941287,0.0001066590098440979,0.0001066590098440979,0.9879635794357975,0.6,0.9736806870013237,0.46218061061297677,0.971521108800477,0.16368187641070442,0.32,15.548634159417013,18.55467523291076,18.89637798400677,22.773275397883467,30.48562970256674,21.76898478757496,8.739603282640655,5.96577589857075e-23,5.5408716319673296e-14,2.1735197685278424e-14,3.2890825531551286e-14,8.520611578193633e-16,0.3877570930432382,6.987414146276906e-18,4.268899098360987e-17,2.5324048029511154e-27,1.2662024014755577e-27,1.1760188592309761e-18,5.165136342337247e-20,0.004275762058927865,5.0,10.0,0.36000000000000004,3.6000000000000005,48.96685859151451,0.15935281885687447,0.998693359464942
28,232658478529.22922,0.5,60.0,0.9600204171961835,500.0,465316957.05845845,930633914.1169169,0.0001066590098440979,0.0001066590098440979,0.9840235491450207,0.6,0.9736733049247803,0.45990616242161153,0.9714640792224402,0.16367226806739676,0.32,15.80479060252314,18.805553130083997,19.147042477935976,23.01997033226775,30.739002390440668,21.937364229949615,8.793257689722667,6.021426200614712e-23,5.6037434336442255e-14,2.2262592286154997e-14,3.299393768200394e-14,8.50408985923032e-16,0.3905930055812711,7.035279224596637e-18,4.2983941676055094e-17,2.557397573020206e-27,1.278698786510103e-27,1.190000456666449e-18,5.2265442495923346e-20,0.004192598638004069,5.0,10.0,0.36000000000000004,3.6000000000000005,49.14370953768011,0.1593422354527978,0.9986920534770747
29,233123795486.2877,0.5,60.0,0.9572849873716646,500.0,466247590.97257537,932495181.9451507,0.0001066590098440979,0.0001066590098440979,0.98009923182081,0.6,0.9736659155168385,0.4567633699710603,0.971406935370549,0.16366264047123014,0.32,16.572710121927614,19.556931177456455,19.89708153106449,23.755169574911946,31.46310204564747,22.414885111256222,8.936270483903971,6.185411255808139e-23,5.767866194390394e-14,2.3802020038084055e-14,3.309739771763204e-14,8.487517792830167e-16,0.40042939674226946,7.156584468138637e-18,4.372766104428503e-17,2.61431850606893e-27,1.307159253034465e-27,1.2189197054896608e-18,5.3535591030680205e-20,0.004012017252990042,5.0,10.0,0.36000000000000004,3.6000000000000005,49.58380276351174,0.15933163222908342,0.9986907461838719
